S.N., time                   , place                                     , magnitude, longitude, latitude, depth
   1, 2024-12-28 07:02:12.064, Southern Tibetan Plateau                  ,      4.0 ,   86.7157,  28.3716, 10.0
   2, 2024-12-28 06:05:48.771, Southern Tibetan Plateau                  ,      4.2 ,   87.0514,  28.2962, 10.0
   3, 2024-12-20 22:29:02.221, "60 km WNW of Jumla, Nepal"               ,      5.0 ,   81.6099,  29.4923, 10.0
   4, 2024-12-19 01:52:46.050, "37 km NNE of Pokhara, Nepal"             ,      4.3 ,   84.1037,  28.5833, 10.0
   5, 2024-12-17 11:23:27.288, "55 km SSE of Burang, China"              ,      4.4 ,   81.3883,  29.831 , 20.081
   6, 2024-12-07 17:08:36.129, "51 km NNW of Dhārchula, India"           ,      4.0 ,   80.3295,  30.2844, 35.0
   7, 2024-10-14 16:47:47.648, "30 km NW of Bhojpur, Nepal"              ,      4.0 ,   86.7989,  27.3416, 10.0
   8, 2024-09-14 18:21:42.274, "75 km N of Jumla, Nepal"                 ,      4.4 ,   82.1893,  29.9563, 13.48
   9, 2024-08-30 22:01:59.157, "44 km N of Besisahar, Nepal"             ,      4.1 ,   84.3475,  28.6347, 10.0
  10, 2024-08-09 01:27:10.980, "5 km NW of Naya Bāzār, India"            ,      4.5 ,   88.1937,  27.1586, 35.0
  11, 2024-08-03 16:28:40.558, "188 km ENE of Saga, China"               ,      4.3 ,   87.0502,  29.9216, 10.0
  12, 2024-07-18 10:05:29.140, "178 km ENE of Saga, China"               ,      4.4 ,   86.9588,  29.8668, 10.0
  13, 2024-07-13 22:49:33.854, "189 km ENE of Saga, China"               ,      4.5 ,   86.9812,  30.0913, 10.0
  14, 2024-07-10 19:49:26.988, "158 km ENE of Saga, China"               ,      4.1 ,   86.7891,  29.7368, 14.586
  15, 2024-05-28 01:13:06.793, "45 km ESE of Dārchulā, Nepal"            ,      4.3 ,   81.0068,  29.7381, 26.184
  16, 2024-03-06 04:25:08.225, "50 km WNW of Burang, China"              ,      4.2 ,   80.6613,  30.4045, 10.0
  17, 2024-02-26 11:29:31.815, "86 km WNW of Rikaze, China"              ,      4.4 ,   88.0921,  29.6188, 89.466
  18, 2024-01-12 17:47:29.479, "34 km NNE of Dipayal, Nepal"             ,      4.3 ,   81.1253,  29.522 , 22.599
  19, 2024-01-07 18:46:35.171, "16 km NW of Namche Bazaar, Nepal"        ,      4.2 ,   86.6116,  27.9221, 10.0
  20, 2024-01-07 14:28:32.992, "44 km ENE of Kodāri̇̄, Nepal"              ,      4.5 ,   86.3806,  28.0886, 10.0
  21, 2024-01-07 14:08:34.933, "40 km WNW of Lobuche, Nepal"             ,      4.1 ,   86.4237,  28.0794, 10.0
  22, 2023-12-31 16:36:23.043, "27 km E of Nagarkot, Nepal"              ,      4.6 ,   85.799 ,  27.727 , 22.322
  23, 2023-12-04 19:04:15.283, "71 km NW of Gyalshing, India"            ,      4.4 ,   87.8388,  27.8117, 70.467
  24, 2023-11-27 22:15:46.743, "124 km WSW of Rikaze, China"             ,      4.7 ,   87.7852,  28.6795, 74.708
  25, 2023-11-22 19:34:26.202, "14 km W of Kirtipur, Nepal"              ,      3.8 ,   85.1323,  27.6889, 10.0
  26, 2023-11-20 05:52:27.597, "36 km NE of Dipayal, Nepal"              ,      4.4 ,   81.1707,  29.5224, 10.0
  27, 2023-11-06 10:46:39.805, "34 km E of Dailekh, Nepal"               ,      5.3 ,   82.0652,  28.8564, 10.0
  28, 2023-11-03 22:31:34.600, "34 km SSE of Jumla, Nepal"               ,      4.0 ,   82.2728,  28.976 , 10.0
  29, 2023-11-03 18:44:39.613, "27 km E of Dailekh, Nepal"               ,      4.1 ,   81.9912,  28.8332, 10.0
  30, 2023-11-03 18:02:53.465, "43 km E of Dailekh, Nepal"               ,      5.7 ,   82.1531,  28.858 , 12.0
